_id,MUNICIPALITY,LAST_NAME,FIRST_NAME,OFFICE_FILLED,VOTES_FOR_CANDIDATE,VOTES_FOR_OFFICE,ELECTED_OR_ACCLAIMED,COUNCIL_INCUMBENT,OFFICE_INCUMBENT,OFFICE_SUBJECT_TO_RECOUNT
667,East Hawkesbury Tp,Sabourin,Stéphanie,Local Councillor,648,2877,Elected,Yes,Yes,No
668,East Hawkesbury Tp,Desjardins,Monique,Local Councillor,881,2877,Elected,No,No,No
669,East Hawkesbury Tp,Sauvé,Karina,Local Councillor,528,2877,Elected,Yes,Yes,No
670,East Hawkesbury Tp,Tranchemontagne,Jacques,Deputy Mayor,599,1225,Elected,No,No,No
671,East Zorra - Tavistock Tp,Schaefer,Philip,Mayor,1218,2222,Elected,Yes,No,No
672,East Zorra - Tavistock Tp,Gillespie,Matthew,Local Councillor,542,1434,Elected,Yes,Yes,No
673,East Zorra - Tavistock Tp,Rudy,Scott,Local Councillor,,,Acclaimed,Yes,Yes,No
674,East Zorra - Tavistock Tp,Smith,Jeremy,Local Councillor,556,1434,Elected,Yes,Yes,No
675,East Zorra - Tavistock Tp,Van Wyk,Steven,Local Councillor,,,Acclaimed,No,No,No
676,East Zorra - Tavistock Tp,Zehr,Scott,Local Councillor,,,Acclaimed,No,No,No
677,East Zorra - Tavistock Tp,Smith,Brad,Deputy Mayor,1396,2216,Elected,No,No,No
678,Edwardsburgh-Cardinal Tp,Deschamps,Tory,Mayor,1585,2646,Elected,Yes,No,No
679,Edwardsburgh-Cardinal Tp,Martelle,Joe,Local Councillor,570,905,Elected,No,No,No
680,Edwardsburgh-Cardinal Tp,Smail,Waddy,Local Councillor,475,867,Elected,No,No,No
681,Edwardsburgh-Cardinal Tp,Ward,Chris,Local Councillor,524,791,Elected,No,No,No
682,Edwardsburgh-Cardinal Tp,Dillabough,Stephen,Deputy Mayor,1667,2583,Elected,Yes,No,No
683,Elizabethtown-Kitley Tp,Burrow,Brant,Mayor,1529,2708,Elected,Yes,Yes,No
684,Elizabethtown-Kitley Tp,Brayton,Earl,Local Councillor,,,Acclaimed,Yes,Yes,No
685,Elizabethtown-Kitley Tp,Eady,Christina,Local Councillor,,,Acclaimed,Yes,Yes,No
686,Elizabethtown-Kitley Tp,Linton,Tom,Local Councillor,,,Acclaimed,Yes,Yes,No
687,Elizabethtown-Kitley Tp,Oosterhof,Henry,Local Councillor,,,Acclaimed,No,No,No
688,Elizabethtown-Kitley Tp,Renaud,Eleanor Leacock,Local Councillor,,,Acclaimed,Yes,Yes,No
689,Elizabethtown-Kitley Tp,Smith,Rob,Local Councillor,,,Acclaimed,Yes,Yes,No
690,Elliot Lake C,Patrie,Chris,Mayor,1619,3688,Elected,Yes,No,No
691,Elliot Lake C,Wannan,Andrew,Local Councillor,2358,18191,Elected,No,No,No
692,Elliot Lake C,Flintoff,Charles,Local Councillor,1726,18191,Elected,No,No,No
693,Elliot Lake C,Bull,Rick,Local Councillor,1685,18191,Elected,No,No,No
694,Elliot Lake C,Mann,Norman,Local Councillor,1514,18191,Elected,Yes,Yes,No
695,Elliot Lake C,Seidel,Merrill,Local Councillor,1266,18191,Elected,No,No,No
696,Elliot Lake C,Morrissette,Luc D.,Local Councillor,1098,18191,Elected,No,No,Yes
697,Emo Tp,McQuaker,Harold,Mayor,,,Acclaimed,Yes,Yes,No
698,Emo Tp,Boven,Harrold,Local Councillor,207,414,Elected,Yes,Yes,No
699,Emo Tp,Teeple,Lisa,Local Councillor,238,414,Elected,No,No,No
700,Emo Tp,Wieringa,Gerald,Local Councillor,293,414,Elected,No,No,No
701,Emo Tp,Whatley,Phil,Local Councillor,347,414,Elected,No,No,No
702,Englehart T,Mikovitch,Jerry,Mayor,329,471,Elected,Yes,No,No
703,Englehart T,Bannink,Pamela,Local Councillor,385,2223,Elected,Yes,Yes,No
704,Englehart T,Metson,Douglas,Local Councillor,325,2223,Elected,Yes,Yes,No
705,Englehart T,Swanson,Kaytlyn,Local Councillor,280,2223,Elected,No,No,No
706,Englehart T,DeLeeuw,Jason,Local Councillor,277,2223,Elected,Yes,Yes,No
707,Englehart T,Jordan,Lori,Local Councillor,275,2223,Elected,No,No,No
708,Englehart T,Farmer,Jo-Anne,Local Councillor,238,2223,Elected,No,No,No
709,Enniskillen Tp,Marriott,Kevin,Mayor,,,Acclaimed,Yes,Yes,No
710,Enniskillen Tp,Burke,Chad,Local Councillor,,,Acclaimed,Yes,Yes,No
711,Enniskillen Tp,Krall,Judy,Local Councillor,,,Acclaimed,Yes,Yes,No
712,Enniskillen Tp,McCallum,Mary Lynne,Local Councillor,,,Acclaimed,Yes,Yes,No
713,Enniskillen Tp,Van Dun,Wally,Local Councillor,,,Acclaimed,Yes,Yes,No
714,Erin T,Dehn,Michael,Mayor,1776,3326,Elected,No,No,No
715,Erin T,Brennan,John,Local Councillor,1959,11000,Elected,Yes,Yes,No
716,Erin T,Cheyne,Jamie,Local Councillor,1805,11000,Elected,Yes,Yes,No
717,Erin T,Aylard,Cathy,Local Councillor,2050,11000,Elected,No,No,No
718,Erin T,Ryan,Bridget,Local Councillor,2011,11000,Elected,No,No,No
719,Espanola T,Gervais,Doug,Mayor,1030,1684,Elected,No,No,No
720,Espanola T,Kelly,Angela,Local Councillor,1293,8591,Elected,No,No,No
721,Espanola T,Kallioinen,Aidan,Local Councillor,1023,8591,Elected,No,No,No
722,Espanola T,Nadeau,Johnathan,Local Councillor,1009,8591,Elected,No,No,No
723,Espanola T,Hayden,Sandra,Local Councillor,699,8591,Elected,Yes,Yes,No
724,Espanola T,Massicotte,Gerry,Local Councillor,673,8591,Elected,No,No,No
725,Espanola T,Duplessis,Ken,Local Councillor,614,8591,Elected,Yes,Yes,No
726,Essa Tp,MacDonald,Sandie,Mayor,,,Acclaimed,Yes,Yes,
727,Essa Tp,Kiezebrink,Pieter,Local Councillor,518,820,Elected,Yes,Yes,No
728,Essa Tp,Sander,Henry,Local Councillor,505,923,Elected,Yes,Yes,No
729,Essa Tp,Maltby,Liana,Local Councillor,337,606,Elected,No,No,No
730,Essa Tp,Smith,Michael,Deputy Mayor,,,Acclaimed,Yes,Yes,
731,Essex T,Bondy,Sherry,Mayor,3794,7032,Elected,Yes,No,No
732,Essex T,Garon,Joe,Local Councillor,1282,2375,Elected,Yes,Yes,No
733,Essex T,Verbeek,Kim,Local Councillor,,,Acclaimed,Yes,Yes,No
734,Essex T,McGuire-Blais,Katie,Local Councillor,1186,2375,Elected,No,No,No
735,Essex T,Allard,Brad,Local Councillor,1063,2203,Elected,No,No,No
736,Essex T,Matyi,Jason,Local Councillor,1038,2203,Elected,Yes,Yes,No
737,Essex T,Hammond,Rodney,Local Councillor,626,1197,Elected,No,No,No
738,Essex T,Shepley,Rob,Deputy Mayor,3581,7032,Elected,No,No,No
739,Evanturel Tp,Mundle,Derek,Reeve,,,Acclaimed,Yes,Yes,
740,Evanturel Tp,Beachey,Barbara,Local Councillor,,,Acclaimed,Yes,Yes,
741,Evanturel Tp,MacPherson,Robert,Local Councillor,,,Acclaimed,Yes,Yes,
742,Evanturel Tp,Belanger,Gisèle,Local Councillor,,,Acclaimed,No,No,
743,Evanturel Tp,Simmens,John,Local Councillor,,,Acclaimed,No,No,
744,Faraday Tp,Purcell,Dennis,Mayor,,,Acclaimed,Yes,Yes,No
745,Faraday Tp,Bowers,Murray,Local Councillor,369,1703,Elected,Yes,Yes,No
746,Faraday Tp,Green,Bill,Local Councillor,418,1703,Elected,Yes,Yes,No
747,Faraday Tp,O'Donnell,John,Local Councillor,363,1703,Elected,No,No,No
748,Faraday Tp,Nicholson,Marg,Deputy Mayor,,,Acclaimed,Yes,Yes,No
749,Fauquier-Strickland Tp,Tremblay,Madeleine,Mayor,174,303,Elected,Yes,Yes,No
750,Fauquier-Strickland Tp,Brunet,Claude,Local Councillor,165,1220,Elected,No,No,No
751,Fauquier-Strickland Tp,Marcoux,Priscilla,Local Councillor,147,1220,Elected,No,No,No
752,Fauquier-Strickland Tp,Lamontagne,Pierre,Local Councillor,142,1220,Elected,No,No,No
753,Fauquier-Strickland Tp,Gendron,Jules,Local Councillor,132,1220,Elected,No,No,No
754,Fort Erie T,Redekop,Wayne,Mayor,6195,9210,Elected,Yes,Yes,No
755,Fort Erie T,McDermott,George P.,Local Councillor,627,1063,Elected,Yes,Yes,No
756,Fort Erie T,Dubanow,Nick,Local Councillor,713,1358,Elected,Yes,Yes,No
757,Fort Erie T,Flagg,Darren,Local Councillor,979,1602,Elected,No,No,No
758,Fort Erie T,Christensen,Joan,Local Councillor,689,1758,Elected,No,No,No
759,Fort Erie T,Lewis,Tom,Local Councillor,1319,1700,Elected,No,No,No
760,Fort Erie T,Noyes,Ann-Marie,Local Councillor,1047,1521,Elected,Yes,Yes,No
761,Fort Frances T,Hallikas,Andrew,Mayor,1573,2639,Elected,Yes,No,No
762,Fort Frances T,Behan,Mike,Local Councillor,1974,12248,Elected,Yes,Yes,No
763,Fort Frances T,Brunetta,Wendy,Local Councillor,2123,12248,Elected,Yes,Yes,No
764,Fort Frances T,McTaggart,John D.,Local Councillor,2068,12248,Elected,Yes,Yes,No
765,Fort Frances T,Kircher,David,Local Councillor,1854,12248,Elected,No,No,No
766,Fort Frances T,Maki,Steven,Local Councillor,1637,12248,Elected,No,No,No
767,Fort Frances T,Olson,Mandi,Local Councillor,1665,12248,Elected,No,No,No
768,French River M,Pageau,Gisèle,Mayor,,,Acclaimed,Yes,Yes,No
769,French River M,Landry,Roger,Local Councillor,,,Acclaimed,No,No,No
770,French River M,Prévost,Bob,Local Councillor,,,Acclaimed,Yes,Yes,No
771,French River M,Schneider,Willy,Local Councillor,115,226,Elected,No,No,No
772,French River M,Wenborne,Dean,Local Councillor,,,Acclaimed,Yes,Yes,No
773,French River M,Viau,David,Local Councillor,,,Acclaimed,Yes,Yes,No
774,French River M,Carrier,Renée,Local Councillor,,,Acclaimed,Yes,Yes,No
775,Front of Yonge Tp,Haley,Roger,Mayor,,,Acclaimed,Yes,Yes,
776,Front of Yonge Tp,Fancy,Margaret,Local Councillor,,,Acclaimed,Yes,Yes,
777,Front of Yonge Tp,Marcoux,Richard,Local Councillor,,,Acclaimed,Yes,Yes,
778,Front of Yonge Tp,Massey,Carson,Local Councillor,,,Acclaimed,Yes,Yes,
779,Front of Yonge Tp,Williams,Gail,Local Councillor,,,Acclaimed,Yes,Yes,
780,Frontenac Islands Tp,Greenwood-Speers,Judy,Mayor,672,1513,Elected,No,No,No
781,Frontenac Islands Tp,Hulton,Dan,Local Councillor,647,1903,Elected,No,No,No
782,Frontenac Islands Tp,Jablonicky,Mike,Local Councillor,316,1903,Elected,No,No,No
783,Frontenac Islands Tp,Ackley,Bob,Local Councillor,255,962,Elected,No,No,No
784,Frontenac Islands Tp,Saunders,Bill,Local Councillor,370,962,Elected,No,No,No
785,Gananoque ST,Beddows,John,Mayor,940,2060,Elected,No,No,No
786,Gananoque ST,Leakey,Vicki,Local Councillor,1305,9423,Elected,No,No,No
787,Gananoque ST,Osmond,David,Local Councillor,1174,9423,Elected,Yes,Yes,No
788,Gananoque ST,Koiner,Anne-Marie,Local Councillor,1113,9423,Elected,No,No,No
789,Gananoque ST,Brown,Colin,Local Councillor,1081,9423,Elected,No,No,No
790,Gananoque ST,Kirkby,Patrick,Local Councillor,1074,9423,Elected,No,No,No
791,Gananoque ST,Harper,Matt,Local Councillor,1032,9423,Elected,Yes,Yes,No
792,Gauthier Tp,Binnendyk,Paul,Reeve,,,Acclaimed,Yes,No,No
793,Gauthier Tp,Bowers,Kelly,Local Councillor,30,175,Elected,Yes,Yes,No
794,Gauthier Tp,Patel,Dixit,Local Councillor,41,175,Elected,No,No,No
795,Gauthier Tp,Quinn,Matthew,Local Councillor,46,175,Elected,Yes,Yes,No
796,Gauthier Tp,Savarie,Marie,Local Councillor,31,175,Elected,Yes,No,No
797,Georgian Bay Tp,Koetsier,Peter,Mayor,,,Acclaimed,Yes,Yes,No
798,Georgian Bay Tp,Predko,Steven,Local Councillor,,,Acclaimed,No,No,No
799,Georgian Bay Tp,Jarvis,Stephen,Local Councillor,,,Acclaimed,Yes,Yes,No
800,Georgian Bay Tp,Graziano,Kristian,Local Councillor,729,1411,Elected,No,No,No
801,Georgian Bay Tp,Hazelton,Allan,Local Councillor,,,Acclaimed,Yes,Yes,No
802,Georgian Bay Tp,Bochek,Brian,Local and District Councillor,,,Acclaimed,Yes,No,No
803,Georgian Bay Tp,Cooper,Peter,Local and District Councillor,,,Acclaimed,Yes,Yes,No
804,Georgian Bluffs Tp,Carleton,Sue,Mayor,1727,3658,Elected,Yes,No,No
805,Georgian Bluffs Tp,Moore Coburn,Cathy,Local Councillor,2423,14578,Elected,Yes,Yes,No
806,Georgian Bluffs Tp,Thompson,Ryan,Local Councillor,2518,14578,Elected,Yes,Yes,No
807,Georgian Bluffs Tp,Day,Tobin,Local Councillor,1912,14578,Elected,No,No,No
808,Georgian Bluffs Tp,Smith,Mike,Local Councillor,1963,14578,Elected,No,No,No
809,Georgian Bluffs Tp,Winters,Rick,Local Councillor,1734,14578,Elected,No,No,No
810,Georgian Bluffs Tp,Pringle,Grant,Deputy Mayor,,,Acclaimed,Yes,No,No
811,Georgina T,Quirk,Margaret,Mayor,4683,9910,Elected,Yes,Yes,No
812,Georgina T,Biggerstaff,Charlene,Local Councillor,896,1604,Elected,No,No,No
813,Georgina T,Fellini,Dan,Local Councillor,1048,2412,Elected,Yes,Yes,No
814,Georgina T,Neeson,Dave,Local Councillor,1150,2260,Elected,Yes,Yes,No
815,Georgina T,Kerr Genge,Dale,Local Councillor,884,2188,Elected,No,No,No
816,Georgina T,Dale,Lee,Local Councillor,923,1320,Elected,No,No,No
817,Georgina T,Davison,Naomi,Local and Regional Councillor,6640,9357,Elected,No,No,No
818,Gillies Tp,Wright,Wendy,Reeve,,,Acclaimed,Yes,Yes,No
819,Gillies Tp,Buitenhuis,Rudy,Local Councillor,85,373,Elected,Yes,Yes,No
820,Gillies Tp,Groenheide,William,Local Councillor,81,373,Elected,Yes,Yes,No
821,Gillies Tp,Jones,Elizabeth,Local Councillor,88,373,Elected,Yes,Yes,No
822,Gillies Tp,Valenthe,Daniel,Local Councillor,90,373,Elected,No,No,No
823,Goderich T,Murdock,Myles,Mayor,1844,3340,Elected,Yes,Yes,No
824,Goderich T,Petrie,Liz,Local Councillor,2632,14407,Elected,No,No,No
825,Goderich T,Segeren,Allison,Local Councillor,2241,14407,Elected,No,No,No
826,Goderich T,Thompson,John,Local Councillor,1409,14407,Elected,No,No,No
827,Goderich T,Carroll,Randy,Local Councillor,2158,14407,Elected,No,No,No
828,Goderich T,Noel,Leah,Local Councillor,2554,14407,Elected,No,No,No
829,Goderich T,Bazinet,Trevor,Deputy Mayor,1985,3320,Elected,Yes,No,No
830,Gordon-Barrie Island M,Hayden,Lee,Reeve,,,Acclaimed,Yes,Yes,No
831,Gordon-Barrie Island M,Bould,Jack,Local Councillor,,,Acclaimed,Yes,Yes,No
832,Gordon-Barrie Island M,Runnalls,Cameron,Local Councillor,,,Acclaimed,Yes,Yes,No
833,Gordon-Barrie Island M,Harry,Isobel,Local Councillor,,,Acclaimed,No,No,No
834,Gordon-Barrie Island M,Wright,Brad,Local Councillor,,,Acclaimed,No,No,No
835,Gore Bay T,Lane,Ron,Mayor,161,263,Elected,No,No,No
836,Gore Bay T,Chaytor,Kelly,Local Councillor,181,1152,Elected,No,No,No
837,Gore Bay T,Nodecker,Paulie,Local Councillor,192,1152,Elected,Yes,Yes,No
838,Gore Bay T,Olmstead,Terry,Local Councillor,199,1152,Elected,No,No,No
839,Gore Bay T,Osborne,Dan,Local Councillor,187,1152,Elected,Yes,No,No
840,Gore Bay T,Woestenenk,Leeanne,Local Councillor,207,1152,Elected,Yes,Yes,No
841,Gore Bay T,Wright,Aaron,Local Councillor,186,1152,Elected,Yes,Yes,No
842,Grand Valley T,Soloman,Steve,Mayor,,,Acclaimed,Yes,Yes,No
843,Grand Valley T,Latam,Paul,Local Councillor,461,1608,Elected,Yes,Yes,No
844,Grand Valley T,Dart,Lorne,Local Councillor,411,1608,Elected,No,No,No
845,Grand Valley T,Jonker,James W,Local Councillor,396,1608,Elected,No,No,No
846,Grand Valley T,Rentsch,Philip,Deputy Mayor,,,Acclaimed,Yes,Yes,No
847,Gravenhurst T,Lorenz,Heidi,Mayor,2155,4922,Elected,Yes,No,No
848,Gravenhurst T,Varney,Penny,Local Councillor,931,1411,Elected,Yes,Yes,No
849,Gravenhurst T,Morphy,Jo,Local Councillor,,,Acclaimed,Yes,Yes,No
850,Gravenhurst T,Robinson,Michelle,Local Councillor,642,887,Elected,No,No,No
851,Gravenhurst T,Jorgensen,Randy,Local Councillor,505,704,Elected,No,No,No
852,Gravenhurst T,Hunter,Christina,Local Councillor,742,1193,Elected,No,No,No
853,Gravenhurst T,Cairns,Sandy,Local and District Councillor,3186,4922,Elected,Yes,Yes,No
854,Gravenhurst T,Strength,Erin,Local and District Councillor,2005,4922,Elected,No,No,No
855,Gravenhurst T,Johnston,Peter,Local and District Councillor,1833,4922,Elected,No,No,No
856,Greater Madawaska Tp,Weir,Rob,Mayor,866,1800,Elected,No,No,No
857,Greater Madawaska Tp,Levesque,Jeff,Local Councillor,751,2292,Elected,No,No,No
858,Greater Madawaska Tp,Tripp,Rob,Local Councillor,852,2292,Elected,No,No,No
859,Greater Madawaska Tp,Popkie,Taylor,Local Councillor,,,Acclaimed,No,No,No
860,Greater Madawaska Tp,Thomson,Lois,Local Councillor,148,342,Elected,No,No,No
861,Greater Napanee T,Richardson,Terry,Mayor,,,Acclaimed,Yes,No,No
862,Greater Napanee T,Schenk,Michael,Local Councillor,610,1051,Elected,No,No,No
863,Greater Napanee T,Hicks,Angela,Local Councillor,429,949,Elected,No,No,No
864,Greater Napanee T,Pinnell Jr.,Dave,Local Councillor,388,1154,Elected,Yes,Yes,No
865,Greater Napanee T,Norrie,Bob,Local Councillor,391,854,Elected,Yes,Yes,No
866,Greater Napanee T,Martin,Bill,Local Councillor,285,714,Elected,No,No,No
867,Greater Napanee T,Calver,Brian,Deputy Mayor,2402,4742,Elected,No,No,No
868,Greater Sudbury C,Lefebvre,Paul,Mayor,26187,49941,Elected,No,No,No
869,Greater Sudbury C,Signoretti,Mark,Local Councillor,2000,4117,Elected,Yes,Yes,No
870,Greater Sudbury C,Vagnini,Michael,Local Councillor,2830,4644,Elected,Yes,Yes,No
871,Greater Sudbury C,Montpellier,Germain,Local Councillor,2373,3742,Elected,Yes,Yes,No
872,Greater Sudbury C,Fortin,Pauline,Local Councillor,1972,3998,Elected,No,No,No
873,Greater Sudbury C,Parent,Michel,Local Councillor,3055,3768,Elected,No,No,No
874,Greater Sudbury C,Lapierre,René,Local Councillor,1451,4410,Elected,Yes,Yes,No
875,Greater Sudbury C,Labbée,Natalie,Local Councillor,2192,4022,Elected,No,No,No
876,Greater Sudbury C,Sizer,Al,Local Councillor,1412,3583,Elected,Yes,Yes,No
877,Greater Sudbury C,McIntosh,Deb,Local Councillor,2930,4760,Elected,Yes,Yes,No
878,Greater Sudbury C,Cormier,Fern,Local Councillor,2844,4758,Elected,Yes,Yes,No
879,Greater Sudbury C,Leduc,Bill,Local Councillor,3002,4483,Elected,Yes,Yes,No
880,Greater Sudbury C,Landry-Altmann,Joscelyne,Local Councillor,1609,3259,Elected,Yes,Yes,No
881,Greenstone M,McPherson,James,Mayor,,,Acclaimed,Yes,No,No
882,Greenstone M,Budge,Vicky,Local Councillor,51,82,Elected,No,No,No
883,Greenstone M,Pietsch,Eric,Local Councillor,,,Acclaimed,No,No,No
884,Greenstone M,Walterson,Chris,Local Councillor,,,Acclaimed,Yes,Yes,No
885,Greenstone M,Mannisto,Elaine,Local Councillor,222,533,Elected,Yes,Yes,No
886,Greenstone M,Ouellet,Alan,Local Councillor,227,533,Elected,No,No,No
887,Greenstone M,Trottier,Claudette,Local Councillor,,,Acclaimed,Yes,Yes,No
888,Greenstone M,Donovan,Matthew,Local Councillor,,,Acclaimed,Yes,Yes,No
889,Greenstone M,Koning,Fran,Local Councillor,65,106,Elected,No,No,No
890,Grey Highlands M,McQueen,Paul,Mayor,2346,3580,Elected,Yes,Yes,No
891,Grey Highlands M,Allen,Paul,Local Councillor,2072,15477,Elected,Yes,Yes,No
892,Grey Highlands M,Allwood,Tom,Local Councillor,1514,15477,Elected,Yes,Yes,No
893,Grey Highlands M,Wickens,Dan,Local Councillor,1155,15477,Elected,No,No,No
894,Grey Highlands M,Loughead,Joel,Local Councillor,1450,15477,Elected,No,No,No
895,Grey Highlands M,Dubyk,Nadia,Local Councillor,1626,15477,Elected,No,No,No
896,Grey Highlands M,Nielsen,Dane,Deputy Mayor,1793,3405,Elected,Yes,No,No
897,Grimsby T,Jordan,Jeff,Mayor,7193,8902,Elected,Yes,Yes,No
898,Grimsby T,Davoli,Delight,Local Councillor,1966,4475,Elected,No,No,No
899,Grimsby T,Freake,Reg,Local Councillor,1611,4475,Elected,Yes,Yes,No
900,Grimsby T,Howe,Don,Local Councillor,1700,5429,Elected,No,No,No
901,Grimsby T,Vardy,Lianne,Local Councillor,2011,5428,Elected,Yes,Yes,No
902,Grimsby T,Charrois,Veronica,Local Councillor,1415,4800,Elected,No,No,No
903,Grimsby T,Korstanje,Jennifer,Local Councillor,1338,4800,Elected,No,No,No
904,Grimsby T,Baradziej,Jacob,Local Councillor,362,1669,Elected,No,No,No
905,Grimsby T,DiFlavio,Nick,Local Councillor,435,1668,Elected,Yes,Yes,No
906,Guelph C,Guthrie,Cam,Mayor,20357,28586,Elected,Yes,Yes,
907,Guelph C,Allt,Phil,Local Councillor,3228,8232,Elected,Yes,Yes,
908,Guelph C,Billings,Christine,Local Councillor,2202,7330,Elected,Yes,Yes,
909,Guelph C,Downer,Cathy,Local Councillor,2809,8179,Elected,Yes,Yes,
910,Guelph C,Gibson,Dan,Local Councillor,2375,7633,Elected,Yes,Yes,
911,Guelph C,Goller,Rodrigo,Local Councillor,3498,11410,Elected,Yes,Yes,
912,Guelph C,O'Rourke,Dominique,Local Councillor,3330,9248,Elected,Yes,Yes,
913,Guelph C,Caron Piper,Leanne,Local Councillor,2870,8179,Elected,Yes,Yes,
914,Guelph C,Caton,Erin,Local Councillor,1418,7633,Elected,No,No,
915,Guelph C,Klassen,Carly,Local Councillor,3105,11410,Elected,No,No,
916,Guelph C,Richardson,Michele,Local Councillor,1362,8232,Elected,No,No,
917,Guelph C,Busuttil,Linda,Local Councillor,1685,7330,Elected,No,No,
918,Guelph C,Yee Chew,Ken,Local Councillor,2624,9248,Elected,No,No,
919,Guelph-Eramosa Tp,White,Chris,Mayor,,,Acclaimed,Yes,Yes,No
920,Guelph-Eramosa Tp,Liebig,Steven,Local Councillor,718,1024,Elected,Yes,Yes,No
921,Guelph-Eramosa Tp,Bouwmeester,Mark,Local Councillor,,,Acclaimed,Yes,Yes,No
922,Guelph-Eramosa Tp,Dickieson,Bruce,Local Councillor,341,538,Elected,Yes,Yes,No
923,Guelph-Eramosa Tp,Woods,Corey,Local Councillor,237,485,Elected,Yes,Yes,No
924,Haldimand County,Bentley,Shelley Ann,Mayor,4760,14832,Elected,No,No,No
925,Haldimand County,Lawrence,Dan,Local Councillor,1731,3526,Elected,Yes,Yes,No
926,Haldimand County,Metcalfe,John,Local Councillor,1502,2218,Elected,Yes,Yes,No
927,Haldimand County,Patterson,Stewart,Local Councillor,,,Acclaimed,Yes,Yes,No
928,Haldimand County,Shirton,Rob,Local Councillor,925,1745,Elected,Yes,Yes,No
929,Haldimand County,Stam,Natalie,Local Councillor,1899,2896,Elected,No,No,No
930,Haldimand County,O'Neill,Patrick,Local Councillor,1003,2155,Elected,No,No,No
931,Halton Hills T,Lawlor,Ann,Mayor,5323,13089,Elected,Yes,No,No
932,Halton Hills T,Albano,Michael,Local Councillor,1237,3957,Elected,Yes,Yes,No
933,Halton Hills T,Hilson,Alex,Local Councillor,1627,3957,Elected,No,No,No
934,Halton Hills T,Brass,Jason,Local Councillor,854,4119,Elected,No,No,No
935,Halton Hills T,Racinsky,Joseph,Local Councillor,771,4119,Elected,No,No,No
936,Halton Hills T,Garneau,Chantal,Local Councillor,1982,6230,Elected,No,No,No
937,Halton Hills T,Norris,Ron,Local Councillor,1507,6230,Elected,No,No,No
938,Halton Hills T,Inglis,Bob,Local Councillor,2783,6518,Elected,Yes,Yes,No
939,Halton Hills T,Keene,D'Arcy,Local Councillor,2180,6518,Elected,No,No,No
940,Halton Hills T,Somerville,Clark,Local and Regional Councillor,,,Acclaimed,Yes,Yes,No
941,Halton Hills T,Fogal,Jane,Local and Regional Councillor,4355,7969,Elected,Yes,Yes,No
942,Hamilton C,Horwath,Andrea,Mayor,59216,142058,Elected,No,No,No
943,Hamilton C,Wilson,Maureen,Local Councillor,6610,8818,Elected,Yes,Yes,No
944,Hamilton C,Kroetsch,Cameron,Local Councillor,3619,7348,Elected,No,No,No
945,Hamilton C,Nann,Nrinder,Local Councillor,4334,8612,Elected,Yes,Yes,No
946,Hamilton C,Hwang,Tammy,Local Councillor,2101,9136,Elected,No,No,No
947,Hamilton C,Francis,Matt,Local Councillor,4239,9720,Elected,No,No,No
948,Hamilton C,Jackson,Tom,Local Councillor,6326,9970,Elected,Yes,Yes,No
949,Hamilton C,Pauls,Esther,Local Councillor,6043,11869,Elected,Yes,Yes,No
950,Hamilton C,Danko,John-Paul,Local Councillor,5274,8482,Elected,Yes,Yes,No
951,Hamilton C,Clark,Brad,Local Councillor,3622,7025,Elected,Yes,Yes,No
952,Hamilton C,Beattie,Jeff,Local Councillor,4236,10672,Elected,No,No,No
953,Hamilton C,Tadeson,Mark,Local Councillor,2829,7446,Elected,No,No,No
954,Hamilton C,Cassar,Craig,Local Councillor,4960,12785,Elected,No,No,No
955,Hamilton C,Wilson,Alex,Local Councillor,7038,12148,Elected,No,No,No
956,Hamilton C,Spadafora,Mike,Local Councillor,2610,9164,Elected,No,No,No
957,Hamilton C,McMeekin,Ted,Local Councillor,3091,7052,Elected,No,No,No
958,Hamilton Tp,Jibb,Scott,Mayor,,,Acclaimed,Yes,No,No
959,Hamilton Tp,Lovshin,Mark,Local Councillor,1512,6909,Elected,Yes,Yes,No
960,Hamilton Tp,Davison,John,Local Councillor,1487,6909,Elected,No,No,No
961,Hamilton Tp,Buttar,Bruce,Local Councillor,1179,6909,Elected,No,No,No
962,Hamilton Tp,Williamson,Larry,Deputy Mayor,1337,2596,Elected,Yes,No,No
963,Hanover T,Paterson,Sue,Mayor,1881,2399,Elected,Yes,Yes,No
964,Hanover T,Fleet,Harold,Local Councillor,1846,2399,Elected,Yes,Yes,No
965,Hanover T,Hocking,Dave,Local Councillor,1554,2399,Elected,Yes,Yes,No
966,Hanover T,Hudson,Carol,Local Councillor,1530,2399,Elected,No,No,No
967,Hanover T,Koebel,Brandon,Local Councillor,2065,2399,Elected,Yes,Yes,No
968,Hanover T,Sakal,Susan,Local Councillor,1649,2399,Elected,No,No,No
969,Hanover T,Dickert,Warren,Deputy Mayor,1317,2399,Elected,Yes,No,No
970,Harley Tp,Archambault,Pauline,Reeve,,,Acclaimed,Yes,Yes,No
971,Harley Tp,Fielder,Clifford,Local Councillor,44,217,Elected,Yes,Yes,No
972,Harley Tp,Gosselin,Marc,Local Councillor,59,217,Elected,Yes,Yes,No
973,Harley Tp,MacKewn,Sophie,Local Councillor,50,217,Elected,No,No,No
974,Harley Tp,McNaughton,Richard,Local Councillor,45,217,Elected,Yes,Yes,No
975,Harris Tp,Despres,Chantal,Reeve,83,113,Elected,Yes,Yes,No
976,Harris Tp,Brownlee,Brian,Local Councillor,,,Acclaimed,No,No,
977,Harris Tp,Gauvreau,Jose,Local Councillor,,,Acclaimed,No,No,
